Id;X;Y;Demand
290;215;853;128,6
291;138;876;167,2
292;318;722;156,3
293;253;617;55,3
294;90;662;137,3
295;909;472;102,3
296;308;910;59,9
297;706;703;132,4
298;994;964;174,3
299;468;904;150,8
300;181;279;105,0
301;132;324;162,4
302;935;232;47,6
303;891;448;40,4
304;610;312;73,4
305;582;826;35,3
306;373;584;72,2
307;330;146;90,2
308;968;383;82,5
309;436;570;126,7
310;725;274;153,5
311;517;304;130,5
312;835;254;38,8
313;901;434;144,4
314;858;202;134,9
315;261;997;138,2
316;493;583;59,7
317;512;311;133,9
318;592;403;57,7
319;949;560;43,1
320;426;413;112,2
321;634;611;151,5
322;200;557;150,4
323;44;99;64,8
324;823;681;94,3
325;958;756;171,1
326;913;482;160,1
327;594;984;157,5
328;73;713;49,0
329;4;687;96,6
330;406;637;154,3
331;717;349;121,4
332;273;727;75,0
333;622;359;162,8
334;316;622;81,1
335;114;595;180,7
336;720;330;108,2
337;485;245;155,0
338;728;679;75,5
339;563;890;76,0
340;412;21;155,9
341;600;831;158,2
342;682;188;71,8
343;419;665;120,9
344;555;691;123,5
345;799;117;92,3
346;671;173;110,6
347;117;117;47,7
348;55;117;131,2
349;242;124;98,8
350;139;795;150,3
351;670;711;133,9
352;22;470;138,1
353;919;386;135,9
354;988;857;111,0
355;166;675;93,4
356;269;813;120,5
357;144;450;148,6
358;66;302;108,4
359;275;504;165,3
360;812;595;79,1
361;65;382;137,7
362;683;718;57,7
363;744;458;89,8
364;370;159;68,4
365;155;263;65,5
366;93;827;98,0
367;897;63;103,0
368;866;240;129,3
369;714;689;79,9
370;9;995;76,5
371;136;611;159,0
372;925;459;177,8
373;371;271;108,8
374;97;729;94,1
375;443;659;133,8
376;374;831;125,9
377;585;137;106,5
378;473;176;51,9
379;878;528;76,4
380;748;261;92,9
381;141;431;101,2
382;208;624;151,6
383;76;809;174,3
384;780;44;55,4
385;653;811;107,7
386;827;0;153,0
387;754;854;70,5
388;909;367;148,1
389;62;951;78,6
390;805;374;124,0
391;204;284;63,8
392;774;806;100,5
393;139;39;126,9
394;73;455;177,4
395;800;483;167,4
396;722;828;114,3
397;983;285;158,2
398;516;93;170,9
399;489;103;173,2
400;297;291;167,0
401;517;407;74,9
402;468;780;174,1
403;300;560;85,7
404;754;944;128,3
405;999;143;121,5
406;220;145;79,7
407;840;536;41,4
408;542;926;171,1
409;509;745;135,6
410;515;461;74,0
411;791;479;69,5
412;821;266;73,8
413;459;481;135,8
414;47;141;39,6
415;417;102;171,7
416;950;385;153,3
417;87;135;181,5
418;967;239;63,1
419;57;886;46,3
420;991;595;73,3
421;962;506;132,2
422;375;948;84,1
423;631;572;128,5
424;210;596;75,6
425;476;910;110,2
426;829;100;92,3
427;133;673;38,5
428;578;982;70,5
429;353;675;170,6
430;834;675;175,3
431;141;964;151,0
432;266;734;71,9
433;146;650;67,3
434;353;284;83,8
435;305;987;56,0
436;150;727;151,9
437;733;696;135,8
438;301;687;83,6
439;858;548;169,9
440;308;224;101,5
441;821;189;149,3
442;45;279;180,2
443;108;220;127,5
444;523;381;100,2
445;446;524;79,3
446;907;598;128,3
447;943;843;126,1
448;780;743;62,5
449;473;609;66,4
450;659;823;51,0
451;326;19;138,2
452;765;746;175,0
453;92;368;173,8
454;29;271;55,3
455;804;619;122,4
456;369;215;119,6
457;325;240;73,0
458;197;903;179,4
459;996;278;141,6
460;189;871;110,3
461;519;684;106,5
462;297;819;106,9
463;102;896;156,8
464;20;818;102,2
465;850;667;59,2
466;916;759;128,2
467;401;140;68,1
468;364;57;98,5
469;823;178;125,9
470;590;605;48,4
471;749;943;59,9
472;924;977;92,6
473;770;720;125,8
474;315;879;123,5
475;78;1;92,8
476;105;857;98,7
477;352;810;69,7
478;36;243;123,4
479;903;279;131,6
480;521;366;115,9
481;58;482;64,1
482;153;0;127,4
483;812;506;158,3
484;481;68;47,2
485;705;785;94,4
486;16;596;39,5
487;974;675;157,4
488;503;914;123,8
489;937;284;166,9
490;431;112;38,9
491;636;548;35,9
492;805;745;43,0
493;728;560;51,4
494;156;777;38,8
495;623;149;139,8
496;811;794;102,4
497;879;709;148,4
498;404;453;167,7
499;838;272;81,3
500;646;185;172,8
501;520;843;111,9
502;337;149;74,8
503;761;972;51,2
504;637;433;39,7
505;607;588;107,4
506;575;511;85,1
507;952;72;37,2
508;818;942;75,8
509;427;589;173,7
510;688;326;106,4
511;547;662;97,5
512;423;507;126,3
513;93;4;38,6
514;699;23;42,3
515;762;595;80,1
516;389;815;152,2
517;48;7;49,1
518;586;171;96,8
519;391;990;125,4
520;860;942;56,3
521;562;289;105,9
522;779;980;87,4
523;305;733;44,0
524;676;855;42,1
525;231;555;93,3
526;661;798;55,3
527;954;975;123,1
528;888;912;177,9
529;483;24;176,9
530;69;618;137,8
531;866;631;48,5
532;244;362;80,7
533;72;937;68,2
534;793;569;43,6
535;145;885;121,0
536;700;844;105,9
537;582;43;94,1
538;73;425;99,0
539;979;684;171,3
540;911;888;116,9
541;921;111;155,4
542;108;98;61,9
543;126;241;59,0
544;737;414;65,9
545;830;426;115,2
546;546;141;108,1
547;429;536;101,2
548;741;233;169,7
549;373;286;38,4
550;989;248;82,3
551;305;814;85,7
552;690;548;62,2
553;449;506;104,6
554;491;754;39,2
555;252;82;129,2
556;52;449;158,2
557;278;918;73,5
558;61;132;87,5
559;344;620;167,6
560;500;421;165,8
561;913;865;138,3
562;161;501;50,0
563;734;467;121,5
564;410;836;176,5
565;733;712;60,1
566;205;115;42,4
567;152;932;59,6
568;360;459;52,3
569;945;335;106,4
570;61;872;127,8
571;408;85;133,8
572;633;945;115,1
573;83;627;149,3
574;550;809;120,7
575;890;266;90,9
576;711;338;163,3
577;515;998;128,7
578;946;604;138,1
579;61;580;143,1
580;785;575;53,2
581;931;871;144,5
582;474;76;94,4
583;967;395;52,2
584;243;984;70,7
585;849;185;150,8
586;817;685;150,3
587;728;848;35,5
588;182;780;58,2
589;119;898;86,6
590;607;31;91,1
591;43;337;41,4
592;900;572;132,4
593;417;480;180,0
594;931;355;73,1
595;693;31;118,4
596;394;858;136,0
597;749;418;56,5
598;827;37;152,8
599;30;362;176,0
600;870;528;133,4
601;945;714;117,5
602;789;100;102,9
603;492;526;55,3
604;234;361;137,2
605;165;386;180,3
606;262;707;116,9
607;87;989;98,1
608;597;528;98,7
609;401;969;93,9
610;146;661;93,2
611;910;977;59,2
612;771;90;78,7
